0	x o1 ŋ͡m
cởi	k ɤ4 j
com	k ɔ1 m
còm	k ɔ2 m
côm	k o1 m
cốm	k o5 m
cồm	k o2 m
cỏm	k ɔ4 m
cơm	k ɤ1 m
cọm	k ɔ6 m
cớm	k ɤ5 m
cỡm	k ɤ3 m
cộm	k o6 m
con	k ɔ1 n
cón	k ɔ5 n
còn	k ɔ2 n
côn	k o1 n
cốn	k o5 n
cồn	k o2 n
cỏn	k ɔ4 n
cơn	k ɤ1 n
cổn	k o4 n
cọn	k ɔ6 n
cớn	k ɤ5 n
cờn	k ɤ2 n
cỡn	k ɤ3 n
cộn	k o6 n
cợn	k ɤ6 n
cong	k ɔ1 ŋ͡m
cóng	k ɔ5 ŋ͡m
còng	k ɔ2 ŋ͡m
công	k o1 ŋ͡m
cõng	k ɔ3 ŋ͡m
cống	k o5 ŋ͡m
cồng	k o2 ŋ͡m
cỏng	k ɔ4 ŋ͡m
cổng	k o4 ŋ͡m
cọng	k ɔ6 ŋ͡m
cộng	k o6 ŋ͡m
coóc	k ɔ5 k͡p
coong	k ɔ1 ŋ͡m
cóp	k ɔ5 p
cốp	k o5 p
cọp	k ɔ6 p
cộp	k o6 p
cót	k ɔ5 t
cốt	k o5 t
cọt	k ɔ6 t
cớt	k ɤ5 t
cột	k o6 t
cợt	k ɤ6 t
crin	c r i1 n
cu	k u1
cú	k u5
cù	k u2
cũ	k u3
củ	k u4
cư	k ɯ1
cụ	k u6
cứ	k ɯ5
cừ	k ɯ2
cữ	k ɯ3
cử	k ɯ4
cự	k ɯ6
cua	k uə1
cúa	k uə5
cùa	k uə2
của	k uə4
cưa	k ɯə1
cứa	k ɯə5
cửa	k ɯə4
cựa	k ɯə6
cúc	k u5 k͡p
cục	k u6 k͡p
cức	k ɯ5 k
cực	k ɯ6 k
cui	k u1 j
cúi	k u5 j
cùi	k u2 j
cũi	k u3 j
củi	k u4 j
cụi	k u6 j
cửi	k ɯ4 j
cum	k u1 m
cúm	k u5 m
cùm	k u2 m
cụm	k u6 m
cun	k u1 n
cún	k u5 n
cùn	k u2 n
cũn	k u3 n
củn	k u4 n
cung	k u1 ŋ͡m
cúng	k u5 ŋ͡m
cùng	k u2 ŋ͡m
cũng	k u3 ŋ͡m
củng	k u4 ŋ͡m
cưng	k ɯ1 ŋ
cụng	k u6 ŋ͡m
cứng	k ɯ5 ŋ
cửng	k ɯ4 ŋ
cuốc	k uə5 k
cuộc	k uə6 k
cước	k ɯə5 k
cược	k ɯə6 k
cuối	k uə5 j
cuồi	k uə2 j
cuội	k uə6 j
cưới	k ɯə5 j
cười	k ɯə2 j
cưỡi	k ɯə3 j
cuỗm	k uə3 m
cườm	k ɯə2 m
cuốn	k uə5 n
cuồn	k uə2 n
cuộn	k uə6 n
cuông	k uə1 ŋ
cuống	k uə5 ŋ
cuồng	k uə2 ŋ
cuộng	k uə6 ŋ
cương	k ɯə1 ŋ
cường	k ɯə2 ŋ
cưỡng	k ɯə3 ŋ
cướp	k ɯə5 p
cúp	k u5 p
cụp	k u6 p
cút	k u5 t
cụt	k u6 t
cứt	k ɯ5 t
cưu	k ɯ1 w
cứu	k ɯ5 w
cừu	k ɯ2 w
cữu	k ɯ3 w
cửu	k ɯ4 w
